node#	P(bar)	T(K)	Gt	Ring	ca-pv	Pv	per	CF	wus	Ppv	
71	856920	1500	0	0	6.17978	72.3712	16.5466	4.90244	0	0	
72	866480	1500	0	0	6.17952	72.3686	16.5367	4.9151	0	0	
73	876033	1500	0	0	6.17926	72.3641	16.5262	4.93046	0	0	
74	885620	1500	0	0	6.179	72.3603	16.516	4.94472	0	0	
75	895240	1500	0	0	6.17874	72.356	16.5057	4.95956	0	0	
76	904760	1500	0	0	6.17848	72.3524	16.4957	4.97342	0	0	
77	914460	1500	0	0	6.17821	72.3481	16.4856	4.98808	0	0	
78	924167	1500	0	0	6.17795	72.3438	16.4754	5.00287	0	0	
79	933873	1500	0	0	6.17769	72.3399	16.4655	5.01693	0	0	
80	943580	1500	0	0	6.17742	72.3352	16.4554	5.03201	0	0	
81	953287	1500	0	0	6.17716	72.3313	16.4457	5.0458	0	0	
82	963107	1500	0	0	6.17689	72.3267	16.4357	5.06068	0	0	
83	972900	1500	0	0	6.17663	72.3218	16.4257	5.07584	0	0	
84	982793	1500	0	0	6.17636	72.3175	16.4159	5.09025	0	0	
85	992587	1500	0	0	6.1761	72.3131	16.4063	5.10448	0	0	
86	1.00248e+06	1500	0	0	6.17583	72.3085	16.3965	5.11914	0	0	
87	1.01232e+06	1500	0	0	6.17557	72.3042	16.387	5.13324	0	0	
88	1.0223e+06	1500	0	0	6.17531	72.297	16.3764	5.15127	0	0	
89	1.03228e+06	1500	0	0	6.17504	72.2939	16.3675	5.16364	0	0	
90	1.04226e+06	1500	0	0	6.17477	72.2903	16.3583	5.17664	0	0	
91	1.05225e+06	1500	0	0	6.17451	72.285	16.3486	5.1919	0	0	
92	1.06224e+06	1500	0	0	6.17424	72.2807	16.3394	5.20569	0	0	
93	1.0724e+06	1500	0	0	6.17397	72.2762	16.3301	5.2198	0	0	
94	1.08253e+06	1500	0	0	6.1737	72.2719	16.3209	5.23348	0	0	
95	1.09266e+06	1500	0	0	6.17344	72.2663	16.3113	5.24895	0	0	
96	1.10284e+06	1500	0	0	6.19355	51.817	16.3114	5.43949	0	20.2386	
97	1.11293e+06	1500	0	0	6.24373	0	14.3938	5.99177	2.18716	71.1836	
98	1.1232e+06	1500	0	0	6.24425	0	14.4791	5.98046	2.09046	71.2058	
99	1.13347e+06	1500	0	0	6.24477	0	14.5671	5.96901	1.99059	71.2285	
100	1.14383e+06	1500	0	0	6.2453	0	14.659	5.95702	1.88656	71.2521	
101	1.1541e+06	1500	0	0	6.24584	0	14.753	5.9448	1.78007	71.2762	
102	1.16447e+06	1500	0	0	6.2464	0	14.8511	5.93238	1.66903	71.3011	
103	1.17477e+06	1500	0	0	6.24697	0	14.9518	5.9191	1.55516	71.3269	
104	1.18532e+06	1500	0	0	6.24756	0	15.0585	5.90483	1.43472	71.3544	
105	1.19577e+06	1500	0	0	6.24816	0	15.1676	5.89091	1.31148	71.3819	
106	1.20632e+06	1500	0	0	6.24879	0	15.2816	5.87508	1.18302	71.4115	
107	1.21678e+06	1500	0	0	6.24942	0	15.3977	5.86178	1.05142	71.4397	
108	1.2273e+06	1500	0	0	6.25007	0	15.5189	5.84563	0.914819	71.4706	
109	1.23794e+06	1500	0	0	6.25074	0	15.6454	5.82927	0.772132	71.5024	
110	1.24858e+06	1500	0	0	6.25144	0	15.776	5.81272	0.62477	71.535	
111	1.25925e+06	1500	0	0	6.25215	0	15.9116	5.79452	0.47219	71.5695	
112	1.26996e+06	1500	0	0	6.25289	0	16.0521	5.77592	0.314043	71.6051	
113	1.2807e+06	1500	0	0	6.25365	0	16.1973	5.75743	0.150288	71.6413	
114	1.29153e+06	1500	0	0	6.25437	0	16.3311	5.73755	0	71.6769	
115	1.30245e+06	1500	0	0	6.25462	0	16.3345	5.71421	0	71.6966	
116	1.31296e+06	1500	0	0	6.25487	0	16.3379	5.69153	0	71.7157	
117	1.32341e+06	1500	0	0	6.25511	0	16.3413	5.66857	0	71.735	
118	1.33387e+06	1500	0	0	6.25534	0	16.345	5.64491	0	71.7547	
119	1.34432e+06	1500	0	0	6.25558	0	16.3492	5.61986	0	71.7754	
120	1.35477e+06	1500	0	0	6.25581	0	16.3532	5.59502	0	71.7959	
