|6.6.6
middle_data_file_v1_1.tab                                                                           
           1
node #  
   1.0000000000000000     
   1.0000000000000000     
           5
          10
node#          P(bar)         T(K)           Cpx            Gt             Wad            Ring           st             ca-pv          Aki           
  1.00000        146650.        1500.00        12.0296        27.3889        60.5814                 NaN            NaN            NaN            NaN
  2.00000        165600.        1500.00        5.21022        34.0364        52.7618        7.99152                 NaN            NaN            NaN
  3.00000        184850.        1500.00                 NaN   32.3383                 NaN   65.8142        1.84750                 NaN            NaN
  4.00000        204500.        1500.00                 NaN   20.4313                 NaN   72.5043        4.10655        2.95783                 NaN
  5.00000        224400.        1500.00                 NaN   16.6955                 NaN   61.5704                 NaN   4.15406        17.5800     
